Order ID,Product,Order Date,Sales,Quantity Sold,Warehouse Location
1,Backpack,2023-01-01,130,3,Los Angeles
2,T-Shirt,2023-01-02,123,2,Chicago
3,Sunglasses,2023-01-03,335,6,New York
4,Watch,2023-01-04,190,2,Lagos
5,Backpack,2023-01-05,479,3,Paris
6,Camera,2023-01-06,375,6,Paris
7,Phone,2023-01-07,343,5,London
8,Backpack,2023-01-08,152,8,Paris
9,Sunglasses,2023-01-09,395,9,Paris
10,Watch,2023-01-10,312,3,Los Angeles
11,T-Shirt,2023-01-11,347,3,Tokyo
12,Sunglasses,2023-01-12,146,3,Lagos
13,Sunglasses,2023-01-13,125,6,Houston
14,Phone,2023-01-14,111,1,Miami
15,Headphones,2023-01-15,306,7,Tokyo
16,Watch,2023-01-16,397,1,Chicago
17,Laptop,2023-01-17,412,5,Chicago
18,Sunglasses,2023-01-18,70,8,Paris
19,Headphones,2023-01-19,48,4,Houston
20,Laptop,2023-01-20,481,5,New York
21,Watch,2023-01-21,315,4,Beijing
22,Shoes,2023-01-22,316,4,Tokyo
23,Camera,2023-01-23,233,8,Tokyo
24,Headphones,2023-01-24,286,2,Sydney
25,Book,2023-01-25,426,1,Lagos
26,Shoes,2023-01-26,276,3,London
27,Camera,2023-01-27,321,9,Lagos
28,Phone,2023-01-28,120,4,Beijing
29,Backpack,2023-01-29,424,5,Chicago
30,T-Shirt,2023-01-30,365,2,Chicago
31,Book,2023-01-31,129,4,Chicago
32,Phone,2023-02-01,439,2,Sydney
33,Watch,2023-02-02,201,2,Chicago
34,Phone,2023-02-03,490,4,Beijing
35,Backpack,2023-02-04,332,6,Houston
36,Watch,2023-02-05,20,7,London
37,Book,2023-02-06,338,3,Beijing
38,Backpack,2023-02-07,457,3,Paris
39,Laptop,2023-02-08,74,6,London
40,T-Shirt,2023-02-09,390,3,Beijing
41,Book,2023-02-10,443,2,Chicago
42,Laptop,2023-02-11,418,8,Houston
43,Camera,2023-02-12,168,5,Tokyo
44,Book,2023-02-13,450,1,Lagos
45,Camera,2023-02-14,476,3,Miami
46,Watch,2023-02-15,328,8,Houston
47,Laptop,2023-02-16,156,4,Tokyo
48,T-Shirt,2023-02-17,221,7,New York
49,Backpack,2023-02-18,455,2,Beijing
50,Sunglasses,2023-02-19,332,7,New York
51,Phone,2023-02-20,136,5,Tokyo
52,Shoes,2023-02-21,173,5,Houston
53,T-Shirt,2023-02-22,444,6,Beijing
54,Laptop,2023-02-23,310,9,Paris
55,Sunglasses,2023-02-24,82,6,Miami
56,T-Shirt,2023-02-25,263,8,Chicago
57,Laptop,2023-02-26,44,7,Beijing
58,Headphones,2023-02-27,109,9,Paris
59,Headphones,2023-02-28,94,4,Beijing
60,Camera,2023-03-01,313,2,Houston
61,T-Shirt,2023-03-02,405,7,Paris
62,Headphones,2023-03-03,410,6,Houston
63,Laptop,2023-03-04,229,1,Tokyo
64,Camera,2023-03-05,494,9,Los Angeles
65,Laptop,2023-03-06,437,9,Beijing
66,Camera,2023-03-07,366,2,Lagos
67,T-Shirt,2023-03-08,36,3,Beijing
68,Sunglasses,2023-03-09,147,5,Tokyo
69,Backpack,2023-03-10,446,5,London
70,Book,2023-03-11,462,1,New York
71,Sunglasses,2023-03-12,383,8,Chicago
72,Watch,2023-03-13,270,8,Paris
73,Laptop,2023-03-14,198,4,Los Angeles
74,Watch,2023-03-15,201,7,Miami
75,Sunglasses,2023-03-16,171,3,Miami
76,Camera,2023-03-17,44,6,Miami
77,Book,2023-03-18,474,9,Houston
78,Book,2023-03-19,199,1,Miami
79,Shoes,2023-03-20,217,5,Chicago
80,Book,2023-03-21,363,4,New York
81,Backpack,2023-03-22,180,8,Miami
82,Book,2023-03-23,196,1,Beijing
83,Sunglasses,2023-03-24,304,9,Beijing
84,Shoes,2023-03-25,82,6,Houston
85,Sunglasses,2023-03-26,169,4,Chicago
86,Sunglasses,2023-03-27,173,9,New York
87,Phone,2023-03-28,175,5,Los Angeles
88,Shoes,2023-03-29,389,5,Tokyo
89,Sunglasses,2023-03-30,488,5,New York
90,Phone,2023-03-31,68,1,Tokyo
91,Phone,2023-04-01,474,1,London
92,Shoes,2023-04-02,356,8,Tokyo
93,Watch,2023-04-03,103,8,Lagos
94,Camera,2023-04-04,380,6,Beijing
95,Backpack,2023-04-05,196,4,Chicago
96,Camera,2023-04-06,167,2,Sydney
97,Book,2023-04-07,137,2,Houston
98,Backpack,2023-04-08,361,9,Lagos
99,Book,2023-04-09,495,5,Tokyo
100,Sunglasses,2023-04-10,82,4,Miami
101,Laptop,2023-04-11,208,1,Chicago
102,Shoes,2023-04-12,379,7,Lagos
103,Backpack,2023-04-13,68,3,Houston
104,Backpack,2023-04-14,346,6,Beijing
105,Sunglasses,2023-04-15,276,5,Chicago
106,Watch,2023-04-16,243,5,Houston
107,Phone,2023-04-17,160,5,London
108,Sunglasses,2023-04-18,497,1,London
109,Headphones,2023-04-19,234,1,Houston
110,Phone,2023-04-20,454,3,Lagos
111,Shoes,2023-04-21,398,4,Chicago
112,Phone,2023-04-22,459,5,Lagos
113,Watch,2023-04-23,230,2,Los Angeles
114,Phone,2023-04-24,337,8,Tokyo
115,Shoes,2023-04-25,51,2,Los Angeles
116,Watch,2023-04-26,177,9,Paris
117,Camera,2023-04-27,304,2,London
118,Backpack,2023-04-28,324,9,Beijing
119,Backpack,2023-04-29,448,7,New York
120,Book,2023-04-30,496,8,Tokyo
121,Camera,2023-05-01,305,2,London
122,Camera,2023-05-02,163,7,Lagos
123,Phone,2023-05-03,443,6,Lagos
124,Backpack,2023-05-04,38,4,Lagos
125,Shoes,2023-05-05,37,7,Beijing
126,T-Shirt,2023-05-06,276,4,Los Angeles
127,T-Shirt,2023-05-07,97,2,New York
128,Watch,2023-05-08,390,7,Lagos
129,Backpack,2023-05-09,194,8,Sydney
130,Backpack,2023-05-10,213,2,Paris
131,T-Shirt,2023-05-11,495,5,Tokyo
132,Backpack,2023-05-12,132,1,Chicago
133,Phone,2023-05-13,133,7,Sydney
134,Headphones,2023-05-14,241,8,New York
135,Laptop,2023-05-15,185,6,Beijing
136,Camera,2023-05-16,454,5,New York
137,Book,2023-05-17,338,6,Chicago
138,Watch,2023-05-18,151,2,Tokyo
139,Headphones,2023-05-19,404,1,Chicago
140,T-Shirt,2023-05-20,283,7,Houston
141,Camera,2023-05-21,432,7,Tokyo
142,Backpack,2023-05-22,74,2,New York
143,Book,2023-05-23,378,2,Lagos
144,Backpack,2023-05-24,150,1,New York
145,Shoes,2023-05-25,307,8,New York
146,Shoes,2023-05-26,285,8,Tokyo
147,Book,2023-05-27,477,1,Paris
148,Book,2023-05-28,486,8,Houston
149,T-Shirt,2023-05-29,385,9,New York
150,Book,2023-05-30,181,4,Sydney
151,Phone,2023-05-31,399,1,London
152,Backpack,2023-06-01,106,1,Miami
153,Headphones,2023-06-02,74,3,Miami
154,Sunglasses,2023-06-03,495,5,New York
155,Book,2023-06-04,307,5,Sydney
156,Watch,2023-06-05,197,9,Paris
157,Shoes,2023-06-06,410,2,Lagos
158,Phone,2023-06-07,368,2,Beijing
159,Camera,2023-06-08,27,6,Beijing
160,Sunglasses,2023-06-09,340,9,Tokyo
161,Headphones,2023-06-10,332,1,Miami
162,Sunglasses,2023-06-11,266,9,New York
163,Book,2023-06-12,342,9,Beijing
164,T-Shirt,2023-06-13,491,9,New York
165,Shoes,2023-06-14,490,5,Tokyo
166,Shoes,2023-06-15,462,9,Miami
167,Camera,2023-06-16,274,4,Chicago
168,T-Shirt,2023-06-17,347,2,Paris
169,Backpack,2023-06-18,73,6,London
170,Laptop,2023-06-19,268,4,London
171,Phone,2023-06-20,258,6,Beijing
172,Shoes,2023-06-21,248,3,London
173,Watch,2023-06-22,86,6,Paris
174,Shoes,2023-06-23,70,2,Chicago
175,Sunglasses,2023-06-24,116,2,Paris
176,Shoes,2023-06-25,111,9,New York
177,Shoes,2023-06-26,283,7,Tokyo
178,Laptop,2023-06-27,437,3,Chicago
179,Laptop,2023-06-28,310,1,Tokyo
180,Headphones,2023-06-29,115,8,Tokyo
181,Backpack,2023-06-30,107,6,Miami
182,Watch,2023-07-01,97,7,New York
183,Shoes,2023-07-02,307,9,Sydney
184,Shoes,2023-07-03,139,5,London
185,Phone,2023-07-04,321,1,Sydney
186,Laptop,2023-07-05,419,7,Miami
187,Watch,2023-07-06,471,5,Tokyo
188,Camera,2023-07-07,184,3,Beijing
189,Headphones,2023-07-08,201,9,Paris
190,Backpack,2023-07-09,488,1,London
191,T-Shirt,2023-07-10,417,1,London
192,Backpack,2023-07-11,242,1,New York
193,Sunglasses,2023-07-12,330,3,Houston
194,Shoes,2023-07-13,451,6,Los Angeles
195,Headphones,2023-07-14,485,3,Los Angeles
196,Sunglasses,2023-07-15,26,8,Los Angeles
197,Watch,2023-07-16,349,2,Houston
198,T-Shirt,2023-07-17,282,9,New York
199,Laptop,2023-07-18,180,3,Houston
200,Headphones,2023-07-19,170,5,Los Angeles
201,Headphones,2023-07-20,104,8,Miami
202,Shoes,2023-07-21,166,2,Chicago
203,Book,2023-07-22,131,6,Tokyo
204,Headphones,2023-07-23,400,5,Houston
205,Phone,2023-07-24,422,9,New York
206,T-Shirt,2023-07-25,55,5,New York
207,T-Shirt,2023-07-26,304,2,Sydney
208,Phone,2023-07-27,207,5,Chicago
209,Camera,2023-07-28,101,4,Beijing
210,Phone,2023-07-29,21,7,London
211,Phone,2023-07-30,404,6,Los Angeles
212,T-Shirt,2023-07-31,322,2,Beijing
213,Backpack,2023-08-01,216,5,Sydney
214,T-Shirt,2023-08-02,423,7,Los Angeles
215,Book,2023-08-03,30,7,Chicago
216,Shoes,2023-08-04,253,5,Paris
217,Sunglasses,2023-08-05,405,9,Sydney
218,Backpack,2023-08-06,214,4,Los Angeles
219,Laptop,2023-08-07,490,3,Chicago
220,Sunglasses,2023-08-08,138,4,Lagos
221,Shoes,2023-08-09,415,5,Beijing
